Interval=	0.005 s
ExcelDateTime=	4.2844669800012722e+004	19/04/2017 16:04:30.721099
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Membrane Potential	Output Pulse
Range=	1000.0 mV	10.000 V
UnitName=	mV	*
TopValue=	99.5	*
BottomValue=	-99.4	*
623.63	-14.8	0.000
623.635	-14.6	0.000
623.64	-14.6	-0.000
623.645	-14.7	-0.001
623.65	-14.7	-0.001
623.655	-14.6	-0.000
623.66	-14.6	-0.000
623.665	-14.8	0.000
623.67	-14.7	-0.001
623.675	-14.5	-0.000
623.68	-14.5	0.000
623.685	-14.7	-0.000
623.69	-14.6	-0.001
623.695	-14.5	-0.000
623.7	-14.6	-0.000
623.705	-14.7	-0.001
623.71	-14.6	-0.001
623.715	-14.4	-0.000
623.72	-14.5	0.000
623.725	-14.6	-0.000
623.73	-14.6	-0.000
623.735	-14.4	0.000
623.74	-14.5	-0.001
623.745	-14.6	-0.000
623.75	-14.6	0.000
623.755	-14.4	0.000
623.76	-14.4	0.000
623.765	-14.6	-0.000
623.77	-14.5	-0.000
623.775	-14.3	-0.000
623.78	-14.3	-0.001
623.785	-14.5	-0.000
623.79	-14.5	-0.000
623.795	-14.4	-0.001
623.8	-14.4	-0.001
623.805	-14.5	0.000
623.81	-14.5	0.000
623.815	-14.3	0.000
623.82	-14.4	0.000
623.825	-14.5	-0.000
623.83	-14.4	0.000
623.835	-14.2	-0.000
623.84	-14.3	0.000
623.845	-14.4	0.000
623.85	-14.4	0.000
623.855	-14.3	-0.001
623.86	-14.4	-0.000
623.865	-14.5	-0.000
623.87	-14.5	-0.001
623.875	-14.4	-0.000
623.88	-14.4	-0.000
623.885	-14.5	0.000
623.89	-14.5	-0.001
623.895	-14.3	-0.001
623.9	-14.4	-0.000
623.905	-14.6	-0.001
623.91	-14.6	-0.000
623.915	-14.4	0.000
623.92	-14.5	-0.000
623.925	-14.6	-0.000
623.93	-14.6	-0.000
623.935	-14.4	-0.001
623.94	-14.5	-0.001
623.945	-14.7	-0.000
623.95	-14.7	-0.000
623.955	-14.5	0.000
623.96	-14.6	-0.001
623.965	-14.7	-0.000
623.97	-14.7	0.000
623.975	-14.5	-0.000
623.98	-14.6	-0.001
623.985	-14.7	0.000
623.99	-14.7	0.000
623.995	-14.5	-0.000
624	-14.6	0.000
624.005	-14.7	0.000
624.01	-14.7	-0.000
624.015	-14.5	-0.001
624.02	-14.6	-0.000
624.025	-14.8	-0.000
624.03	-14.7	-0.001
624.035	-14.6	0.000
624.04	-14.7	-0.001
624.045	-14.8	-0.001
624.05	-14.8	-0.000
624.055	-14.6	-0.000
624.06	-14.6	-0.000
624.065	-14.8	0.000
624.07	-14.8	-0.000
624.075	-14.7	-0.000
624.08	-14.7	-0.000
624.085	-14.9	-0.001
624.09	-14.8	-0.001
624.095	-14.6	-0.001
624.1	-14.7	-0.001
624.105	-14.8	0.000
624.11	-14.8	0.000
624.115	-14.7	-0.000
624.12	-14.7	-0.000
624.125	-14.9	-0.000
624.13	-14.8	-0.000
624.135	-14.7	-0.001
624.14	-14.8	0.000
624.145	-14.9	-0.000
624.15	-14.9	0.000
624.155	-14.7	-0.000
624.16	-14.8	0.000
624.165	-14.9	-0.000
624.17	-14.8	-0.000
624.175	-14.7	-0.001
624.18	-14.7	-0.000
624.185	-14.9	-0.001
624.19	-14.8	-0.000
624.195	-14.7	-0.001
624.2	-14.7	5.120
624.205	-14.9	-0.001
624.21	-14.8	-0.001
624.215	-14.6	0.000
624.22	-14.7	-0.001
624.225	-14.8	-0.001
624.23	-14.7	-0.001
624.235	-14.6	-0.001
624.24	-14.7	-0.001
624.245	-14.9	0.000
624.25	-14.8	-0.000
624.255	-14.6	-0.001
624.26	-14.6	-0.001
624.265	-14.8	-0.000
624.27	-14.7	0.000
624.275	-14.6	-0.000
624.28	-14.6	-0.000
624.285	-14.8	0.000
624.29	-14.7	-0.000
624.295	-14.6	-0.000
624.3	-14.6	-0.001
624.305	-14.8	-0.001
624.31	-14.8	-0.000
624.315	-14.6	-0.000
624.32	-14.7	-0.000
624.325	-14.8	0.000
624.33	-14.8	-0.000
624.335	-14.7	0.000
624.34	-14.8	-0.001
624.345	-14.9	-0.000
624.35	-14.8	-0.001
624.355	-14.7	-0.001
624.36	-14.8	-0.000
624.365	-15.0	-0.000
624.37	-14.9	-0.000
624.375	-14.7	0.000
624.38	-14.8	-0.000
624.385	-15.0	-0.001
624.39	-14.9	-0.001
624.395	-14.8	-0.000
624.4	-14.9	-0.000
624.405	-15.0	-0.001
624.41	-14.9	-0.000
624.415	-14.8	-0.000
624.42	-14.9	-0.000
624.425	-15.0	-0.001
624.43	-14.9	-0.001
624.435	-14.8	-0.001
624.44	-14.9	-0.001
624.445	-15.1	-0.000
624.45	-15.0	-0.000
624.455	-14.9	-0.000
624.46	-15.0	-0.000
